date,mean_temp,max_temp,min_temp,mean_hum,max_hum,min_hum,mean_pres,max_pres,min_pres,rain,mean_speed_wind,dir_wind,max_gust_wind
2010-01-01,11.1,11.3,11.0,74.2,97,51,997.3,1001.2,995.1,0.6,15.0,SW,24.0
2010-01-02,9.6,9.8,9.5,71.1,86,56,999.6,1004.0,995.7,0.0,9.1,SW,15.2
2010-01-03,3.9,4.1,3.9,71.1,85,56,1010.4,1019.3,1003.7,0.0,21.4,WNW,31.9
2010-01-04,1.1,1.2,1.0,56.6,70,42,1021.9,1023.7,1019.8,0.0,11.1,WNW,18.6
2010-01-05,1.8,1.8,1.8,89.1,96,58,1017.6,1021.4,1012.4,8.2,8.4,ENE,13.1
2010-01-06,9.0,9.2,8.9,91.9,97,81,1008.3,1012.2,1005.7,0.2,4.4,WNW,8.0
2010-01-07,11.8,12.0,11.7,84.5,95,74,1012.2,1017.5,1007.8,0.0,5.1,ENE,8.4
2010-01-08,11.4,11.4,11.3,89.7,93,84,1017.2,1019.0,1014.8,0.0,6.6,ENE,10.6
2010-01-09,13.8,13.8,13.7,82.2,94,68,1010.6,1014.8,1007.4,0.0,13.5,SE,22.0
2010-01-10,10.3,10.5,10.2,71.9,86,56,1007.2,1009.4,1005.2,0.0,10.2,SW,16.2
2010-01-11,7.9,8.0,7.8,66.1,80,47,1012.8,1013.9,1009.7,0.0,5.8,WNW,9.9
2010-01-12,6.0,6.1,6.0,86.2,96,67,1011.6,1012.9,1010.3,3.6,4.2,WNW,7.4
2010-01-13,5.3,5.3,5.2,86.9,96,76,1009.8,1010.7,1008.6,0.0,4.5,NE,8.9
2010-01-14,5.7,5.7,5.6,82.8,92,67,1012.2,1015.4,1009.8,0.6,4.0,NE,7.2
2010-01-15,4.6,4.7,4.6,90.9,94,86,1018.8,1023.0,1015.6,3.0,7.2,NE,12.0
2010-01-16,3.5,3.6,3.5,90.8,96,74,1025.7,1027.6,1022.8,1.6,2.6,NE,5.3
2010-01-17,3.7,3.7,3.6,89.8,96,77,1024.9,1027.5,1021.1,0.0,2.4,WNW,5.0
2010-01-18,3.4,3.4,3.3,87.5,95,80,1017.6,1021.1,1015.4,0.4,12.2,NW,20.3
2010-01-19,1.9,2.0,1.9,76.2,84,67,1014.6,1016.0,1012.9,0.0,20.7,NW,32.2
2010-01-20,1.2,1.3,1.1,76.5,89,63,1015.8,1018.1,1014.1,0.0,9.1,NW,19.3
2010-01-21,1.9,2.0,1.8,80.6,91,63,1018.6,1019.6,1017.5,0.0,7.4,ENE,11.6
